"Date","Close"
"2003/11/25","11.49"
"2003/11/26","11.5"
"2003/11/27","11.37"
"2003/11/28","11.25"
"2003/12/1","11.55"
"2003/12/2","11.54"
"2003/12/3","11.52"
"2003/12/4","11.55"
"2003/12/5","11.57"
"2003/12/8","11.44"
"2003/12/9","11.48"
"2003/12/10","11.34"
"2003/12/11","11.45"
"2003/12/12","11.53"
"2003/12/15","11.61"
"2003/12/16","11.55"
"2003/12/17","11.33"
"2003/12/18","11.35"
"2003/12/19","11.28"
"2003/12/22","11.45"
"2003/12/23","11.45"
"2003/12/24","11.41"
"2003/12/25","11.45"
"2003/12/26","11.44"
"2003/12/29","11.36"
"2003/12/30","11.48"
"2003/12/31","11.48"
"2004/1/2","11.83"
"2004/1/5","11.95"
"2004/1/6","11.95"
"2004/1/7","11.95"
"2004/1/8","12.02"
"2004/1/9","12.1"
"2004/1/12","12.13"
"2004/1/13","12.12"
"2004/1/14","12.24"
"2004/1/15","12.24"
"2004/1/16","12.23"
"2004/1/27","12.28"
"2004/1/28","12.26"
"2004/1/29","12.15"
"2004/1/30","12.13"
"2004/2/2","12.08"
"2004/2/3","11.92"
"2004/2/4","11.86"
"2004/2/5","11.86"
"2004/2/6","11.98"
"2004/2/9","12.13"
"2004/2/10","12.14"
"2004/2/11","12.09"
"2004/2/12","12.15"
"2004/2/13","12.37"
"2004/2/16","12.3"
"2004/2/17","12.38"
"2004/2/18","12.38"
"2004/2/19","12.5"
"2004/2/20","12.5"
"2004/2/23","12.39"
"2004/2/24","12.36"
"2004/2/25","12.4"
"2004/2/26","12.45"
"2004/2/27","12.64"
"2004/3/1","12.99"
"2004/3/2","13.2"
"2004/3/3","13.18"
"2004/3/4","13.29"
"2004/3/5","13.13"
"2004/3/8","12.96"
"2004/3/9","13"
"2004/3/10","12.84"
"2004/3/11","12.85"
"2004/3/12","12.61"
"2004/3/15","12.41"
"2004/3/16","12.25"
"2004/3/17","12.27"
"2004/3/18","12.68"
"2004/3/19","12.75"
"2004/3/22","11.86"
"2004/3/23","11.6"
"2004/3/24","11.74"
"2004/3/25","11.7"
"2004/3/26","11.7"
"2004/3/29","12.28"
"2004/3/30","12.33"
"2004/3/31","12.25"
"2004/4/1","12.18"
"2004/4/2","12.23"
"2004/4/5","12.5"
"2004/4/6","12.48"
"2004/4/7","12.47"
"2004/4/8","12.53"
"2004/4/9","12.45"
"2004/4/12","12.74"
"2004/4/13","12.71"
"2004/4/14","12.85"
"2004/4/15","12.6"
"2004/4/16","12.79"
"2004/4/19","12.73"
"2004/4/20","12.73"
"2004/4/21","12.81"
"2004/4/22","12.63"
"2004/4/23","12.7"
"2004/4/26","12.73"
"2004/4/27","12.6"
"2004/4/28","12.49"
"2004/4/29","12.17"
"2004/4/30","11.88"
"2004/5/3","11.49"
"2004/5/4","11.75"
"2004/5/5","11.18"
"2004/5/6","11.33"
"2004/5/7","11.44"
"2004/5/10","11.15"
"2004/5/11","11.18"
"2004/5/12","11.38"
"2004/5/13","11.25"
"2004/5/14","11.03"
"2004/5/17","10.26"
"2004/5/18","10.43"
"2004/5/19","11.15"
"2004/5/20","11.13"
"2004/5/21","11.3"
"2004/5/24","11.28"
"2004/5/25","11.24"
"2004/5/26","11.49"
"2004/5/27","11.49"
"2004/5/28","11.58"
"2004/5/31","11.34"
"2004/6/1","11.3"
"2004/6/2","11.17"
"2004/6/3","10.91"
"2004/6/4","10.76"
"2004/6/7","11.3"
"2004/6/8","11.4"
"2004/6/9","11.35"
"2004/6/10","11.24"
"2004/6/11","10.86"
"2004/6/14","10.55"
"2004/6/15","10.75"
"2004/6/16","10.59"
"2004/6/17","10.82"
"2004/6/18","10.65"
"2004/6/21","10.63"
"2004/6/23","10.98"
"2004/6/24","11.09"
"2004/6/25","11.1"
"2004/6/28","10.93"
"2004/6/29","10.95"
"2004/6/30","11.19"
"2004/7/1","11.23"
"2004/7/2","10.98"
"2004/7/5","10.85"
"2004/7/6","10.95"
"2004/7/7","10.98"
"2004/7/8","10.96"
"2004/7/9","11.09"
"2004/7/12","11.01"
"2004/7/13","10.93"
"2004/7/14","10.83"
"2004/7/15","10.65"
"2004/7/16","10.6"
"2004/7/19","10.59"
"2004/7/20","10.3"
"2004/7/21","10.5"
"2004/7/22","10.4"
"2004/7/23","10.4"
"2004/7/26","10.3"
"2004/7/27","10.47"
"2004/7/28","10.44"
"2004/7/29","10.35"
"2004/7/30","10.48"
"2004/8/2","10.41"
"2004/8/3","10.42"
"2004/8/4","10.33"
"2004/8/5","10.7"
"2004/8/6","10.57"
"2004/8/9","10.56"
"2004/8/10","10.51"
"2004/8/11","10.44"
"2004/8/12","10.45"
"2004/8/13","10.46"
"2004/8/16","10.41"
"2004/8/17","10.43"
"2004/8/18","10.69"
"2004/8/19","11.05"
"2004/8/20","11.05"
"2004/8/23","11.11"
"2004/8/26","11.49"
"2004/8/27","11.4"
"2004/8/30","11.4"
"2004/8/31","11.29"
"2004/9/1","11.45"
"2004/9/2","11.41"
"2004/9/3","11.21"
"2004/9/6","11.23"
"2004/9/7","11.38"
"2004/9/8","11.37"
"2004/9/9","11.35"
"2004/9/10","11.36"
"2004/9/13","11.58"
"2004/9/14","11.58"
"2004/9/15","11.44"
"2004/9/16","11.44"
"2004/9/17","11.35"
"2004/9/20","11.4"
"2004/9/21","11.55"
"2004/9/22","11.58"
"2004/9/23","11.55"
"2004/9/24","11.35"
"2004/9/27","11.35"
"2004/9/29","11.35"
"2004/9/30","11.4"
"2004/10/1","11.58"
"2004/10/4","11.82"
"2004/10/5","11.87"
"2004/10/6","11.83"
"2004/10/7","11.88"
"2004/10/8","11.88"
"2004/10/11","11.79"
"2004/10/12","11.57"
"2004/10/13","11.54"
"2004/10/14","11.29"
"2004/10/15","11.27"
"2004/10/18","11.26"
"2004/10/19","11.34"
"2004/10/20","11.28"
"2004/10/21","11.29"
"2004/10/22","11.3"
"2004/10/26","11.06"
"2004/10/27","11.04"
"2004/10/28","11.21"
"2004/10/29","11.18"
"2004/11/1","11.07"
"2004/11/2","11.3"
"2004/11/3","11.51"
"2004/11/4","11.55"
"2004/11/5","11.73"
"2004/11/8","11.7"
"2004/11/9","11.7"
"2004/11/10","11.71"
"2004/11/11","11.5"
"2004/11/12","11.63"
"2004/11/15","11.65"
"2004/11/16","11.7"
"2004/11/17","11.9"
"2004/11/18","11.9"
"2004/11/19","11.85"
"2004/11/22","11.44"
"2004/11/23","11.45"
"2004/11/24","11.59"
"2004/11/25","11.51"
"2004/11/26","11.37"
"2004/11/29","11.39"
"2004/11/30","11.38"
"2004/12/1","11.41"
"2004/12/2","11.52"
"2004/12/3","11.6"
"2004/12/6","11.65"
"2004/12/7","11.66"
"2004/12/8","11.63"
"2004/12/9","11.63"
"2004/12/10","11.61"
"2004/12/13","11.5"
"2004/12/14","11.56"
"2004/12/15","11.79"
"2004/12/16","11.83"
"2004/12/17","11.8"
"2004/12/20","11.63"
"2004/12/21","11.75"
"2004/12/22","11.8"
"2004/12/23","11.74"
"2004/12/24","11.81"
"2004/12/27","11.76"
"2004/12/28","11.8"
"2004/12/29","12"
"2004/12/30","12.02"
"2004/12/31","12.13"
"2005/1/3","12.08"
"2005/1/4","11.87"
"2005/1/5","11.72"
"2005/1/6","11.72"
"2005/1/7","11.63"
"2005/1/10","11.67"
"2005/1/11","11.73"
"2005/1/12","11.49"
"2005/1/13","11.47"
"2005/1/14","11.52"
"2005/1/17","11.67"
"2005/1/18","11.64"
"2005/1/19","11.61"
"2005/1/20","11.57"
"2005/1/21","11.48"
"2005/1/24","11.35"
"2005/1/25","11.34"
"2005/1/26","11.46"
"2005/1/27","11.46"
"2005/1/28","11.58"
"2005/1/31","11.77"
"2005/2/1","11.77"
"2005/2/2","11.89"
"2005/2/3","11.92"
"2005/2/14","12.12"
"2005/2/15","12.12"
"2005/2/16","12.1"
"2005/2/17","11.94"
"2005/2/18","11.99"
"2005/2/21","12.04"
"2005/2/22","11.98"
"2005/2/23","11.98"
"2005/2/24","11.98"
"2005/2/25","12.16"
"2005/3/1","12.21"
"2005/3/2","12.18"
"2005/3/3","12.13"
"2005/3/4","12.05"
"2005/3/7","12.11"
"2005/3/8","11.98"
"2005/3/9","12.05"
"2005/3/10","12.01"
"2005/3/11","12.05"
"2005/3/14","11.94"
"2005/3/15","11.78"
"2005/3/16","11.82"
"2005/3/17","11.72"
"2005/3/18","11.72"
"2005/3/21","11.72"
"2005/3/22","11.68"
"2005/3/23","11.63"
"2005/3/24","11.6"
"2005/3/25","11.71"
"2005/3/28","11.68"
"2005/3/29","11.56"
"2005/3/30","11.56"
"2005/3/31","11.69"
"2005/4/1","11.69"
"2005/4/4","11.68"
"2005/4/6","11.66"
"2005/4/7","11.63"
"2005/4/8","11.66"
"2005/4/11","11.63"
"2005/4/12","11.67"
"2005/4/13","11.68"
"2005/4/14","11.63"
"2005/4/15","11.48"
"2005/4/18","11.15"
"2005/4/19","11.23"
"2005/4/20","11.1"
"2005/4/21","11.2"
"2005/4/22","11.21"
"2005/4/25","11.28"
"2005/4/26","11.34"
"2005/4/27","11.34"
"2005/4/28","11.38"
"2005/4/29","11.45"
"2005/5/3","11.49"
"2005/5/4","11.45"
"2005/5/5","11.72"
"2005/5/6","11.73"
"2005/5/9","11.75"
"2005/5/10","11.75"
"2005/5/11","11.7"
"2005/5/12","11.71"
"2005/5/13","11.8"
"2005/5/16","11.75"
"2005/5/17","11.62"
"2005/5/18","11.67"
"2005/5/19","11.35"
"2005/5/20","11.32"
"2005/5/23","11.17"
"2005/5/24","11.21"
"2005/5/25","11.19"
"2005/5/26","11.26"
"2005/5/27","11.36"
"2005/5/30","11.36"
"2005/5/31","11.38"
"2005/6/1","11.29"
"2005/6/2","11.38"
"2005/6/3","11.48"
"2005/6/6","11.49"
"2005/6/7","11.48"
"2005/6/8","11.52"
"2005/6/9","11.52"
"2005/6/10","11.6"
"2005/6/13","11.75"
"2005/6/14","11.75"
"2005/6/15","11.77"
"2005/6/16","11.85"
"2005/6/17","11.98"
"2005/6/20","11.97"
"2005/6/21","11.88"
"2005/6/22","12.07"
"2005/6/23","12.07"
"2005/6/24","11.98"
"2005/6/27","11.91"
"2005/6/28","11.98"
"2005/6/29","11.88"
"2005/6/30","11.87"
"2005/7/1","11.9"
"2005/7/4","11.83"
"2005/7/5","11.76"
"2005/7/6","11.78"
"2005/7/7","11.72"
"2005/7/8","11.75"
"2005/7/11","11.99"
"2005/7/12","12.1"
"2005/7/13","12.14"
"2005/7/14","12.22"
"2005/7/15","12.25"
"2005/7/19","12.24"
